district_name,website_url,board_page_url
Advantage Arts Academy,,
Alpine District,https://alpineschools.org,
American Academy of Innovation,https://www.aaiutah.org,
American Leadership Academy,https://www.americanleadership.net,
American Prep Acad,https://www.americanprep.org,
AMES,https://www.ames-slc.org,
Ascent Academies of Utah,https://www.ascentutah.org,
Athenian eAcademy,https://www.aea.rocks,
Bear River Charter School,https://www.brcs-logan.org,
Beaver District,https://www.min.beaver.k12.ut.us,
Bonneville Academy,https://www.bonnevilleacademy.org,
Box Elder District,https://www.grousecreek.besd.net,
Bridge Elementary School,,
BSTA,https://www.beehiveacademy.org,
Cache District,https://www.ccsdut.org/Canyon.cfm,
Canyon Grove Academy,https://www.canyongrove.com,
Canyon Rim Academy,https://www.canyonrimacademy.org,
Canyons District,https://midvale.canyonsdistrict.org,
Carbon District,https://www.carbonschools.org/HelperJr.cfm,
CCID,https://ccidschool.org,
Channing Hall,https://www.channinghall.org,
City Academy,https://www.cityacademyslc.org,
CS Lewis Academy,https://www.cslewisacademy.net,
Daggett District,https://www.dsdf.org/fge.htm,
Davinci Academy,https://www.davinciacademy.org,
Davis District,https://www.davis.k12.ut.us,
Dual Immersion Academy,https://diacharter.org,
Duchesne District,https://dcsd.org,
Early Light Acad at Daybreak,https://www.earlylightacademy.org,
East Hollywood High,https://www.easthollywood.org,
Edith Bowen Laboratory School,https://www.edithbowen.usu.edu,
Elevated Charter School,https://elevatedcharterschool.org,
Emery District,https://emerycsd.org/Emery.cfm,
Endeavor Hall,https://www.endeavorhall.org,
Entheos Academy,https://www.entheosacademy.org,
Esperanza School,https://www.esperanzaelementary.org,
Excelsior Academy,https://www.excelsior-academy.org,
Fast Forward High,https://www.ffchs.org,
Franklin Discovery Acad,https://franklindiscovery.org,
Freedom Prep Academy,https://www.freedomprep.net,
Garfield District,https://www.bes.garfield.k12.ut.us,
Gateway Preparatory Academy,https://gpacharter.org/home,
George Washington Academy,https://www.gwacademy.org,
Good Foundations Academy,https://gfautah.org,
Grand District,https://www.grand.k12.ut.us/middle/index.html,
Granite District,https://www.graniteschools.org/el/penn,
Greenwood Charter School,https://www.greenwoodcharter.org,
Guadalupe School,https://www.guadschool.org,
Hawthorn Academy,https://www.hawthornacademy.org,
Highmark Charter School,https://www.hmcharterschool.org,
Ignite Entrepreneurship Acad,,
InTech Collegiate Academy,https://www.intechacademy.org,
Iron District,https://www.cvhs.iron.k12.ut.us,
Itineris Early College High,https://www.iechs.org,
Jefferson Academy,https://jeffersonacademy.org,
John Hancock Charter School,https://www.johnhancockcs.org,
Jordan District,https://antelopecanyon.jordandistrict.org,
Juab District,https://sites.google.com/juabsd.org/mes,
Kane District,https://bws.kanek12.org,
Karl G Maeser Prep Acad,https://www.maeserprep.org,
Lakeview Academy,https://www.lakeview-academy.com,
LAU,https://www.lautah.org,
Leadership Learning Acad,https://llacharter.org,
Legacy Preparatory Academy,https://www.legacyprep.org,
Lincoln Academy,https://www.lincoln-academy.org,
Logan City District,https://www.adams.loganschools.org,
Lumen Scholar Institute,https://www.lumenscholar.org,
Mana Academy Charter School,https://www.themanaacademy.org,
Maria Montessori Academy,https://www.mariamontessoriacademy.org,
Merit College Prep Acad,https://www.meritacademy.org,
Millard District,https://www.millard.k12.ut.us,
Monticello Academy,https://www.monticelloacademy.net,
Morgan District,https://www.morgan.k12.ut.us/MMS/index.html,
Mountain Heights Academy,https://www.mountainheightsacademy.org,
Mountain Sunrise Academy,https://MountainSunriseAcademy.org,
Mountain View Montessori,https://www.dixiemontessoriacademy.org,
Mountain West Montessori Acad,https://www.MWMAcademy.org,
Mountainville Academy,https://www.mountainvilleacademy.org,
Murray District,https://schools.murrayschools.org/schools/mhs,
Navigator Pointe Academy,https://www.npacademy.org,
Nebo District,https://www.Nebo.edu,
Noah Webster Academy,https://www.noahwebsteracademy.org,
North Davis Prep Acad,https://www.northdavisprep.org,
North Sanpete District,https://www.fe.nsanpete.k12.ut.us/FAIRVIEW_ELEMENTARY/Homepage.html,
North Star Academy,https://www.north-staracademy.com,
North Summit District,https://www.nsummit.org/Middle.cfm,
NUAMES,https://www.nuames.org,
Odyssey Charter School,https://www.odysseycharter.net,
Ogden City District,https://benlomond.ogdensd.org,
Ogden Prep Academy,https://www.ogdenprep.org,
Open Classroom,https://www.ocslc.org,
Pacific Heritage Academy,https://phlearning.org,
Paradigm High School,https://www.paradigmschools.org,
Park City District,https://ehms.pcschools.us,
Pinnacle Canyon Academy,https://www.pcaschool.com,
Piute District,https://piutek12.org,
Promontory School,https://promontoryschool.org,
Providence Hall,https://www.providencehall.com,
Provo District,https://provo.edu/eschool,
Quest Academy,https://www.questac.org,
Ranches Academy,https://www.theranchesacademy.com,
Reagan Academy,https://www.reaganacademy.org,
Renaissance Academy,https://www.renacademy.org,
Rich District,https://www.rich.k12.ut.us/nre_index.html,
Rockwell Charter High School,https://www.rockwellhigh.net,
Roots Charter High School,https://www.rootshigh.org,
